家賃（円）,徒歩（分）,専有面積（㎡）,駐車場,オートロック, バストイレ別
88500,10,20.7,1,1,1
86700,10,20.7,1,1,1
87300,10,20.7,1,1,1
88200,10,20.7,1,1,1
170000,10,41.4,1,1,1
83000,10,20.7,1,1,1
100000,13,25.21,0,1,1
170000,13,52.36,0,1,1
105000,13,25.63,0,1,1
83000,5,22.85,0,1,1
56000,10,12.5,0,1,0
65000,10,12.5,0,1,0
56000,10,12,0,1,0
63000,10,12,0,1,1
67000,10,12,0,1,0
87000,9,20.79,0,1,1
85000,9,21.88,0,1,1
64000,4,11.28,0,1,1
67000,4,12.73,0,1,1
140000,7,31.7,0,1,1
113000,7,25.1,0,1,1
117000,7,25.06,0,1,1
113000,7,25.1,0,1,1
110000,7,25.06,0,1,1
114000,7,25.1,0,1,1
87000,12,23,0,0,1
170000,13,52.36,0,1,1
105000,13,25.63,0,1,1
78000,15,21.18,0,0,1
85000,15,22.41,0,1,1
179000,17,58.17,0,1,1
78000,17,21.18,0,1,1
179000,17,58.17,0,1,1
78000,15,21.18,0,1,1
78000,14,21.18,0,1,1
103000,5,26.48,0,1,1
105000,5,27.15,0,1,1
98000,5,26.48,0,1,0
86000,7,25.4,0,1,1
76000,6,23.6,0,0,1
83000,17,21.25,0,1,1
76000,6,23.6,0,0,1
76000,6,23.6,0,0,1
63000,7,11,0,1,0
63000,7,11,0,0,0
63000,7,11,0,1,0
76000,6,23.6,0,0,1
90000,7,20.06,0,1,1
91000,9,20.06,0,1,1
92000,7,20.06,1,0,0
86000,7,20.06,0,1,1
87000,7,20.06,0,1,1
90000,7,20.06,0,1,1
92000,7,20.06,0,1,1
93000,19,25.03,0,1,1
94000,5,18.61,0,1,0
97000,5,23.78,0,1,0
94000,5,18.61,0,1,0
97000,5,23.78,0,1,0
95000,10,20.75,0,1,1
130000,10,30.84,0,1,1
94000,5,18.71,0,1,0
97000,5,23.78,0,1,0
95000,9,21.36,1,1,1
97000,9,24.17,1,1,1
99000,9,21.94,1,1,1
100000,9,21.94,1,1,1
103000,9,21.94,0,1,1
99000,8,22.17,0,1,1
101000,8,21.94,0,1,1
101000,8,21.94,0,1,1
103000,9,21.94,0,1,1
102000,8,22.17,0,1,1
105000,9,21.94,0,1,1
137000,6,32.95,1,1,1
100000,8,21.94,0,1,1
79000,7,18.04,0,1,1
75000,7,18.14,0,1,1
81000,7,18.14,0,1,1
85000,15,25.13,1,1,1
80000,15,25.13,0,1,1
83000,15,20.45,0,1,1
93000,7,22.5,0,1,1
104000,8,24.87,1,1,1
183000,8,47.17,1,1,1
183000,8,47.17,1,1,1
110000,8,27.6,1,1,1
117000,8,34.12,1,1,1
99000,8,24.27,0,1,1
159000,8,42.72,1,1,1
180000,8,48.24,1,1,1
114000,8,27.6,1,1,0
74000,2,20.43,0,1,1
91000,8,21.34,0,1,1
92500,8,20.58,0,1,1
88000,8,21.29,0,1,1
88000,8,20.58,0,1,1
88000,8,22.04,0,1,1
88000,8,20.58,0,1,1
93000,7,22.5,0,1,1
